sale_price,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
335000,207,29,29050,291940,34020,NA,W,11340,21,NA,1,1,7,4,3,3,1,5,1,1,3,2,1,2,1,2,2,4,1,1,1,0,1833,2,1,2,NA,NA,NA,PALATINE,60067,7294,0.663421990677269,0.04085549766931724,0.13531669865642995,0.15204277488346588,0.01494378941595832,57225,Palatine,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,9.556,65639,FALSE,TRUE,TRUE
169000,211,15,15080,203420,29300,NA,W,4186,49,3,2,1,16,7,1,2,1,5,2,0,3,4,1,2,2,2,2,7,NA,NA,NA,0,3122,2,2,2,NA,NA,NA,CICERO,60804,7973,0.16618587733600904,0.01755926251097454,0.01141352063213345,0.8030854132697856,0.0035118525021949,14351,Cicero,0,0,1,0,0,0,SCHOOL DISTRICT  99,BERWYN CICERO STICKNEY HIGH SCHOOL 201,14.038,44867,FALSE,FALSE,TRUE
485000,211,71,71070,237540,59640,NA,T,4260,98,2,2,1,7,4,1,3,2,5,2,0,3,2,0,2,2,2,2,3,1,2,2,0,1994,2,2,2,NA,NA,1,CHICAGO,60618,3273,0.3318056828597617,0.05041246562786435,0.00488848151542927,0.591811793461656,0.04216315307057745,14000,Chicago,0,0,1,0,0,0,LORCA,SCHURZ HS,6.871,47917,FALSE,TRUE,TRUE
19109,203,37,37051,35710,19800,NA,O,5280,63,NA,1,1,6,3,4,3,1,5,2,0,2,1,0,2,NA,2,2,1,1,2,2,0,1092,2,1,5,3,NA,NA,BURNHAM,60633,4189,0.14657436142277394,0.6032465982334686,0,0.24421102888517543,0.011936022917164,09798,Burnham,0,0,6,1,0,0,SCHOOL DISTRICT 1541/2,THORNTON TWP FRACTIONAL HIGH SCHOOL 215,21.135,43983,FALSE,TRUE,TRUE
250000,295,29,29080,203390,30780,NA,W,2280,36,NA,1,1,6,3,1,3,1,5,1,1,3,2,1,2,NA,2,2,1,1,1,2,0,1496,2,1,2,NA,NA,NA,ROLLING MEADOWS,60008,7328,0.6252729257641921,0.01350982532751091,0.2667849344978166,0.06154475982532751,0.06577510917030567,65338,Rolling Meadows,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,11.481,111635,FALSE,TRUE,TRUE
361000,211,20,20080,366680,39500,NA,O,4389,63,3,2,1,10,4,1,1,2,5,2,0,2,3,0,1,2,2,2,3,1,2,2,0,3428,2,2,2,3,NA,NA,ELMWOOD PARK,60707,3851,0.5162295507660348,0.02051415216826798,0.04024928589976629,0.4030122046221761,0.03583484809140483,23724,Elmwood Park,0,0,1,0,0,0,SCHOOL DISTRICT UNIT  401,SCHOOL DISTRICT UNIT  401,11.154,50707,FALSE,TRUE,TRUE
26500,203,37,37130,63470,12100,NA,O,4840,65,NA,2,1,6,3,1,3,1,5,1,1,3,1,0,2,NA,2,2,7,NA,NA,NA,0,1150,2,1,1,NA,NA,NA,HAZEL CREST,60429,2876,0.12273991655076497,0.7280945757997218,0.00556328233657858,0.13212795549374132,0.02016689847009735,33695,Hazel Crest,0,0,3,1,0,0,SCHOOL DISTRICT  152 1/2,THORNTON TOWNSHIP HIGH SCHOOL  205,19.371,36657,FALSE,FALSE,TRUE
67000,211,70,70100,33260,33750,NA,W,3750,61,NA,2,1,10,6,1,1,2,5,2,0,1,2,0,NA,NA,2,2,3,1,2,2,0,2333,2,2,2,3,NA,2,CHICAGO,60617,3424,0.01022196261682243,0.8320677570093458,0.01810747663551401,0.12938084112149534,0.01547897196261682,14000,Chicago,0,0,1,0,0,0,NEW SULLIVAN,BOWEN HS,7.145,35000,FALSE,TRUE,TRUE
75000,202,36,36012,72080,39190,NA,O,6816,61,NA,1,1,5,2,1,3,1,5,2,0,3,1,0,NA,NA,2,2,1,1,1,2,0,864,2,1,1,NA,NA,NA,STICKNEY,60402,6732,0.39230540701128935,0.00490196078431372,0.02094474153297683,0.5439691027926322,0.07575757575757576,72676,Stickney,0,0,1,0,0,0,SCHOOL DISTRICT  103,BERWYN CICERO STICKNEY HIGH SCHOOL 201,14.34,59467,FALSE,TRUE,TRUE
190000,295,29,29050,118970,23870,NA,W,1179,32,NA,1,1,5,1,2,3,1,5,1,1,3,1,1,2,NA,2,2,1,1,1,1,0,1155,2,1,2,NA,NA,NA,PALATINE,60067,7294,0.663421990677269,0.04085549766931724,0.13531669865642995,0.15204277488346588,0.01494378941595832,57225,Palatine,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,10.099880418535127,65639,FALSE,TRUE,TRUE
203000,211,15,15020,101610,22050,NA,W,3150,102,3,1,1,8,4,1,3,2,5,2,0,1,3,0,2,2,2,2,3,1,2,2,0,1976,2,2,2,1,NA,1,CICERO,60804,3376,0.03584123222748815,0.02577014218009478,0,0.9369075829383886,0.00296208530805687,14351,Cicero,0,0,3,1,0,0,SCHOOL DISTRICT  99,BERWYN CICERO STICKNEY HIGH SCHOOL 201,17.77,48233,FALSE,TRUE,TRUE
21000,203,72,72150,75440,24570,NA,W,3780,88,NA,2,1,7,3,1,1,2,5,2,0,2,1,1,2,2,2,2,2,1,2,2,0,1179,2,1,1,3,NA,1,CHICAGO,60629,4694,0.01981252662974009,0.7895185342991052,0.00532594801874733,0.12207072858968895,0.12654452492543672,14000,Chicago,0,0,3,1,0,0,MCKAY,GAGE PARK HS,6.858,28817,FALSE,TRUE,TRUE
34500,203,32,32130,67070,24370,NA,W,7500,61,NA,2,1,5,3,4,3,1,5,1,0,3,1,1,2,2,2,2,2,1,1,2,37,1475,2,1,1,NA,NA,NA,MATTESON,60443,2596,0.2014637904468413,0.6471494607087828,0.03274268104776579,0.08513097072419107,0.06702619414483821,47540,Matteson,0,0,1,0,0,0,SCHOOL DISTRICT 162,RICH TOWNSHIP HIGH SCHOOL  227,17.541,54575,FALSE,TRUE,TRUE
40000,205,37,37150,75970,54330,NA,O,14490,90,NA,1,1,7,4,1,3,1,5,2,0,2,1,0,2,NA,2,2,1,1,2,2,0,1483,2,1,2,3,NA,NA,SOUTH HOLLAND,60473,3183,0.12409676405906378,0.8360037700282752,0.00282752120640904,0.03707194470625196,0,70850,South Holland,0,0,1,0,0,0,SCHOOL DISTRICT  150,THORNTON TOWNSHIP HIGH SCHOOL  205,14.841,72500,FALSE,TRUE,TRUE
337500,278,29,29033,248780,48510,NA,W,9240,46,NA,3,1,8,4,1,1,1,5,1,0,3,2,1,NA,NA,2,2,3,1,1,2,0,2347,2,1,2,NA,NA,NA,HOFFMAN ESTATES,60192,3805,0.8086727989487517,0,0.1340341655716163,0.0202365308804205,0.07411300919842313,35411,Hoffman Estates,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,11.189,123594,FALSE,TRUE,TRUE
2259850,209,23,23132,1668300,380460,NA,W,21741,19,NA,2,1,11,4,1,1,1,5,1,4,2,3,2,2,1,2,2,5,2,1,1,0,5636,2,1,2,1,NA,NA,WINNETKA,60093,5279,0.9143777230536086,0.00303087706004925,0.02292100776662246,0.03371850729304793,0.04110627012691797,82530,Winnetka,0,0,6,0,0,0,SCH DISTRICT 36,NEW TRIER TOWNSHIP HIGH SCHOOL  203,8.24,211042,TRUE,TRUE,TRUE
508000,211,35,35040,458660,8420,NA,T,2246,37,6,2,1,29,11,2,3,1,5,2,0,3,6,0,2,NA,2,2,7,NA,NA,NA,0,6193,2,2,3,NA,NA,NA,SCHAUMBURG,60193,7135,0.6505956552207428,0.02102312543798178,0.1925718290119131,0.11548703573931324,0.02032235459004905,68003,Schaumburg,0,0,1,0,0,0,SCHOOL DISTRICT C C 54,PALATINE TOWNSHIP HIGH SCHOOL  211,10.857,73136,FALSE,FALSE,TRUE
176000,203,21,21052,111590,15660,NA,W,3480,62,NA,2,1,5,3,3,3,1,5,1,0,3,1,0,NA,NA,2,2,3,1,2,2,0,1008,2,1,1,NA,NA,NA,LYONS,60534,6225,0.4324497991967872,0.00562248995983935,0.02682730923694779,0.5288353413654618,0.01172690763052208,45434,Lyons,0,0,5,1,0,0,SCHOOL DISTRICT  103,BERWYN CICERO STICKNEY HIGH SCHOOL 201,12.933,63846,FALSE,TRUE,TRUE
297000,203,20,20030,170570,35100,NA,W,5400,53,NA,2,1,6,3,1,1,1,5,1,0,3,1,1,2,NA,2,2,3,2,2,2,0,1262,2,1,1,NA,NA,NA,FRANKLIN PARK,60131,6452,0.5230936143831371,0,0.00526968381897086,0.4576875387476751,0.02789832610043397,27702,Franklin Park,0,0,1,0,0,0,SCHOOL DISTRICT  81,COMMUNITY HIGH SCHOOL  212,12.711,72011,FALSE,TRUE,TRUE
259900,202,31,31210,158470,52500,NA,W,7500,63,NA,2,2,4,2,1,3,1,5,1,0,3,1,0,2,2,2,2,3,1,2,2,0,904,2,1,1,NA,NA,NA,BROOKFIELD,60513,3598,0.7584769316286826,0.02501389660922735,0.00305725403001667,0.21345191773207337,0,08576,Brookfield,0,0,1,0,0,0,SCHOOL DISTRICT 95,RIVERSIDE BROOKFIELD HIGH SCHOOL 208,11.782,84417,FALSE,TRUE,TRUE
265000,234,20,20020,155000,27830,NA,T,5060,57,NA,3,1,6,4,3,1,1,5,1,0,3,1,1,2,2,2,2,3,1,2,2,0,1247,2,1,4,NA,NA,NA,SCHILLER PARK,60176,6240,0.5948717948717949,0.00641025641025641,0.07836538461538461,0.28942307692307695,0.05753205128205128,68081,Schiller Park,1,0,1,0,0,0,SCHOOL DISTRICT  81,COMMUNITY HIGH SCHOOL  212,12.02,50703,FALSE,TRUE,TRUE
387000,211,71,71180,241220,40950,NA,O,3150,100,NA,2,2,16,7,2,3,2,5,2,0,3,3,0,NA,NA,2,2,3,2,2,2,0,2982,2,2,2,NA,NA,NA,CHICAGO,60647,3073,0.214123006833713,0.09241783273673934,0.00846078750406768,0.6749105109013993,0.0201757240481614,14000,Chicago,0,0,1,0,0,0,MOZART,KELVYN PARK HS,6.808,47778,FALSE,TRUE,TRUE
130000,295,18,18010,103010,22270,NA,W,2620,30,NA,1,1,5,2,2,3,1,5,1,1,2,1,1,2,NA,2,2,1,1,1,1,0,1116,2,1,2,1,NA,NA,STREAMWOOD,60107,6215,0.4313757039420757,0.06870474658085278,0.20949316170555107,0.25341914722445696,0.07401448109412712,73157,Streamwood,0,0,1,0,0,0,SCHOOL DISTRICT 46,SCHOOL DISTRICT 46,11.724,72073,FALSE,TRUE,TRUE
170000,203,11,11010,106010,35960,NA,W,3689,90,NA,2,1,7,3,1,3,1,5,1,0,2,1,1,2,2,2,2,3,2,2,2,0,1505,2,1,5,1,NA,NA,BERWYN,60402,4207,0.1713810316139767,0.0663180413596387,0.05086760161635369,0.6840979320180651,0.04397432850011885,05573,Berwyn,0,0,1,0,0,0,SCHOOL DISTRICT 98,BERWYN CICERO STICKNEY HIGH SCHOOL 201,13.474,58015,FALSE,TRUE,TRUE
325000,204,24,24051,336450,54810,NA,W,7560,65,NA,1,1,7,3,2,3,1,5,1,0,1,2,0,2,2,2,2,4,1,2,2,0,1857,2,1,5,1,2,3,EVANSTON,60203,3485,0.6318507890961262,0.14691535150645624,0.11649928263988522,0.06226685796269727,0.07890961262553801,70122,Skokie,0,0,4,1,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,9.923,118971,FALSE,TRUE,TRUE
75000,203,39,39151,110360,23400,AV,T,5850,63,NA,1,1,6,3,4,3,1,5,1,0,1,1,1,NA,NA,2,2,3,1,2,2,0,1454,2,1,5,1,NA,NA,WORTH,60482,4444,0.786003600360036,0.03802880288028803,0.00877587758775877,0.15706570657065708,0.02025202520252025,83518,Worth,0,0,1,0,0,0,SCHOOL DISTRICT  127,COMMUNITY HIGH SCHOOL  218,14.575,49702,FALSE,TRUE,TRUE
10500,210,70,70230,68570,16180,NA,W,1798,130,NA,2,1,5,3,1,1,1,5,2,0,3,1,0,NA,NA,2,2,1,1,2,2,0,1216,2,1,2,NA,NA,NA,CHICAGO,60628,2131,0.01642421398404505,0.96245893946504,0,0,0.04223369310183012,14000,Chicago,0,0,1,0,0,0,SMITH,CORLISS HS,6.41,27247,FALSE,TRUE,TRUE
425000,205,27,27080,342240,42520,NA,W,4725,109,NA,1,1,6,3,1,1,1,5,2,0,3,2,0,NA,NA,2,2,4,1,2,2,0,1650,2,1,2,NA,NA,NA,OAK PARK,60304,4008,0.6472055888223552,0.2125748502994012,0.0029940119760479,0.12574850299401197,0.02245508982035928,54885,Oak Park,0,0,1,0,0,0,SCHOOL DISTRICT  97,CONSOLIDATED HIGH SCHOOL  200,14.358,104792,FALSE,TRUE,TRUE
142000,202,72,72030,110150,33750,NA,O,3750,65,NA,2,1,4,2,1,3,2,5,2,0,2,1,0,NA,NA,2,2,2,1,2,2,0,928,2,1,1,3,NA,NA,CHICAGO,60629,5276,0.17418498862774828,0.00549658832448824,0.0200909780136467,0.7970053070507961,0.00322213798332069,14000,Chicago,0,0,1,0,0,0,LEE,HUBBARD HS,6.917,57875,FALSE,TRUE,TRUE
37000,202,13,13120,40430,23790,NA,O,13598,70,NA,1,1,4,2,4,3,1,5,2,0,2,1,0,2,NA,2,2,2,1,2,2,0,857,2,1,1,3,NA,NA,MARKHAM,60428,5406,0.08916019237883832,0.732519422863485,0.01590825009248982,0.1505734369219386,0.02367739548649648,47007,Markham,0,0,1,0,0,0,SCHOOL DISTRICT  144,COMMUNITY HIGH SCHOOL  228,22.803,42417,FALSE,TRUE,TRUE
285000,203,70,70080,123540,34020,NA,W,3780,104,NA,1,1,7,4,1,1,1,2,2,1,1,1,0,2,NA,2,2,3,1,2,2,0,1620,2,1,5,1,NA,1,CHICAGO,60649,2828,0.01131541725601131,0.9575671852899575,0,0.00318246110325318,0.05586987270155587,14000,Chicago,0,0,1,0,0,0,MANN,CHICAGO VOCATIONAL HS,6.786,49413,FALSE,TRUE,TRUE
22000,203,70,70100,58980,28120,NA,O,3125,113,NA,1,1,5,3,1,3,2,5,2,0,1,1,0,2,2,2,2,3,1,2,2,0,1216,2,1,5,1,NA,NA,CHICAGO,60617,3483,0.01579098478323284,0.9127189204708585,0,0.06402526557565318,0.00746482917025552,14000,Chicago,0,0,1,0,0,0,HEROES,BOWEN HS,6.867,27391,FALSE,TRUE,TRUE
18000,202,72,72310,52360,31680,NA,O,4875,65,NA,1,1,3,2,3,1,1,5,1,0,1,1,0,NA,NA,2,2,3,1,2,2,0,672,2,1,1,1,NA,NA,CHICAGO,60643,2053,0.01461276181198246,0.9654164637116416,0.00925474914758889,0.00194836824159766,0.01753531417437896,14000,Chicago,0,0,1,0,0,0,WHITE,FENGER HS,7.282,58065,FALSE,TRUE,TRUE
301000,234,24,24101,276590,48020,NA,T,5488,59,NA,2,2,6,4,3,1,1,2,1,0,3,2,0,NA,NA,2,2,7,NA,NA,NA,0,1449,2,1,4,NA,NA,NA,LINCOLNWOOD,60712,4870,0.5059548254620123,0.03100616016427104,0.29671457905544146,0.09671457905544148,0.13921971252566734,43744,Lincolnwood,0,0,1,0,0,0,SCHOOL DISTRICT 74,COMMUNITY HIGH SCHOOL  219,10.487,77240,FALSE,FALSE,TRUE
442000,204,24,24103,347580,78180,NA,W,10424,49,NA,2,1,10,5,2,3,1,5,1,0,2,3,2,2,2,2,2,4,2,1,2,0,2752,2,1,5,1,NA,2,NILES,60714,3634,0.7553659878921298,0.06081452944413869,0.09851403412217942,0.07512383048981838,0.01733626857457347,53000,Niles,0,0,1,0,0,0,SCHOOL DISTRICT 71,COMMUNITY HIGH SCHOOL  219,8.524,50291,FALSE,TRUE,TRUE
217500,203,30,30010,139940,34650,NA,W,6600,55,NA,3,1,6,3,4,3,1,5,1,0,3,1,1,1,2,2,2,1,1,1,2,0,1116,2,1,1,NA,NA,NA,HICKORY HILLS,60457,4123,0.8452583070579675,0.00945913170021828,0.01528013582342954,0.12442396313364056,0.00557846228474411,34514,Hickory Hills,0,0,1,0,0,0,SCHOOL DISTRICT  117,CONSOLIDATED HIGH SCHOOL  230,11.243,99306,FALSE,TRUE,TRUE
332500,203,20,20080,234860,47410,NA,W,6118,66,NA,2,1,7,4,1,1,1,5,1,1,1,2,1,2,2,2,2,2,2,2,2,0,1557,2,1,1,3,NA,NA,ELMWOOD PARK,60707,4125,0.7832727272727272,0.02327272727272727,0.06642424242424243,0.11272727272727272,0.0286060606060606,23724,Elmwood Park,0,0,1,0,0,0,SCHOOL DISTRICT UNIT  401,SCHOOL DISTRICT UNIT  401,10.1,80208,FALSE,TRUE,TRUE
214000,203,72,72380,161870,33750,NA,T,3750,52,NA,2,1,5,3,1,1,1,2,1,0,2,1,0,NA,NA,2,2,3,1,2,2,0,1140,2,1,1,3,NA,NA,CHICAGO,60638,4022,0.41198408751864746,0.01541521631029338,0.0069617105917454,0.561163600198906,0.00895077076081551,14000,Chicago,0,0,1,0,0,0,HALE,KENNEDY HS,6.917,44085,FALSE,TRUE,TRUE
575000,278,71,71463,410700,80610,NA,W,6718,46,NA,3,1,10,5,1,3,1,5,2,0,3,2,1,2,2,2,2,3,1,2,2,0,2600,2,1,2,NA,NA,NA,CHICAGO,60646,4725,0.6960846560846561,0.03047619047619047,0.1073015873015873,0.14137566137566138,0.04952380952380952,14000,Chicago,0,0,1,0,0,0,EDGEBROOK,TAFT HS,6.808,105833,FALSE,TRUE,TRUE
125000,207,39,39133,173330,14070,NA,W,5119,20,NA,1,1,6,3,1,3,1,5,1,1,2,2,1,2,2,2,2,3,1,1,1,0,1710,2,1,2,3,NA,NA,BLUE ISLAND,60406,5040,0.2625,0.18313492063492065,0.00357142857142857,0.49166666666666664,0.11825396825396824,06704,Blue Island,0,0,1,0,0,0,SCHOOL DISTRICT 130,COMMUNITY HIGH SCHOOL  218,15.994,47371,FALSE,TRUE,TRUE
138000,202,39,39211,111360,28820,NA,W,6405,59,NA,2,1,4,2,4,3,1,5,2,0,3,1,0,NA,NA,2,2,1,1,2,2,0,982,2,1,1,NA,NA,NA,ALSIP,60803,4311,0.6112270934817907,0.1336116910229645,0.00139178844815588,0.24031547204824863,0.02690790999768035,01010,Alsip,0,0,4,1,0,0,SCHOOL DISTRICT  126,COMMUNITY HIGH SCHOOL  218,13.83,63065,FALSE,TRUE,TRUE
749000,206,34,34050,438490,145510,NA,W,19402,128,NA,1,1,8,4,1,3,1,5,1,1,2,3,1,2,2,2,2,5,1,2,2,0,3019,2,1,2,1,NA,NA,RIVERSIDE,60546,5210,0.7667946257197696,0.02610364683301343,0.03435700575815739,0.16698656429942418,0.01151631477927063,64421,Riverside,0,0,7,1,0,0,SCHOOL DISTRICT 96,RIVERSIDE BROOKFIELD HIGH SCHOOL 208,12.41,91607,FALSE,TRUE,TRUE
312000,211,72,72040,147200,34020,NA,W,3402,98,2,1,1,6,4,1,1,1,5,2,0,1,2,0,2,2,2,2,7,NA,NA,NA,0,2080,2,2,2,3,NA,NA,CHICAGO,60632,5581,0.09335244579824405,0.00412112524637161,0.08475183658842501,0.7953771725497223,0.04479483963447411,14000,Chicago,0,0,6,1,0,0,COLUMBIA EXPLORERS,KELLY HS,6.83,40233,FALSE,FALSE,TRUE
270000,204,24,24081,231870,38740,NA,W,5535,58,NA,2,1,7,4,1,1,1,5,1,1,3,2,1,NA,NA,2,2,7,NA,NA,NA,0,1848,2,1,1,NA,NA,NA,SKOKIE,60076,5224,0.46248085758039814,0.12117151607963246,0.27833078101071973,0.08422664624808576,0.10758039816232771,70122,Skokie,0,0,1,0,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,8.406,92547,FALSE,FALSE,TRUE
219000,211,72,72030,174180,47250,NA,W,4725,101,2,2,1,5,3,2,3,1,5,2,0,3,2,0,2,2,2,2,7,NA,NA,NA,0,1760,2,2,2,2,NA,1,CHICAGO,60632,2290,0.20829694323144105,0.01048034934497816,0.06637554585152838,0.711353711790393,0.00349344978165938,14000,Chicago,0,0,1,0,0,0,EDWARDS,CURIE HS,6.83,40000,FALSE,FALSE,TRUE
600000,278,22,22080,330870,37780,NA,T,6571,54,NA,2,1,8,4,1,1,1,5,1,0,3,2,1,2,2,2,2,3,2,1,1,0,2498,2,1,2,NA,NA,NA,NILES,60714,5040,0.7507936507936508,0.0246031746031746,0.14662698412698413,0.06805555555555555,0.01964285714285714,53000,Niles,0,0,1,0,0,0,SCHOOL DISTRICT C C  64,MAINE TOWNSHIP HIGH SCHOOL  207,8.497,71044,FALSE,TRUE,TRUE
670000,278,22,22070,473450,58940,NA,W,8733,6,NA,2,1,10,5,1,1,1,5,1,2,3,3,1,2,2,2,2,3,2,1,1,0,3117,2,1,2,NA,NA,NA,MORTON GROVE,60053,3141,0.5313594396688952,0.07736389684813753,0.26392868513212353,0.04616364215218083,0.1139764406240051,50647,Morton Grove,0,0,1,0,0,0,SCHOOL DISTRICT  63,MAINE TOWNSHIP HIGH SCHOOL  207,9.697,64331,FALSE,TRUE,TRUE
570000,211,29,29070,276100,13610,NA,W,2722,42,6,2,2,29,11,2,3,2,5,2,0,3,6,0,2,NA,2,2,7,NA,NA,NA,0,6216,2,2,3,NA,NA,NA,PALATINE,60074,7272,0.7002200220022002,0.02296479647964796,0.11688668866886688,0.15154015401540155,0.01677667766776677,57225,Palatine,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,10.676,95089,FALSE,FALSE,TRUE
